Code,HexColor,Type,Sign,PaletteName
R00050,#f1f1f3,Natural Transparent,+,ass we can
R01111,#c09c82,Crystal - Solgel Dyed,+,ass we can
R01112,#ba807f,Crystal - Solgel Dyed,+,ass we can
R01113,#b7b197,Crystal - Solgel Dyed,+,ass we can
R01121,#aca2ba,Crystal - Solgel Dyed,+,ass we can
